date_announcement,rate,is_scheduled,rate_change,date_effective
2010-04-20 10:00:00-04:00,0.25,True,0.0,2010-04-20
2010-06-01 10:00:00-04:00,0.5,True,0.25,2010-06-01
2010-07-20 10:00:00-04:00,0.75,True,0.25,2010-07-20
2010-09-08 10:00:00-04:00,1.0,True,0.25,2010-09-08
2010-10-19 10:00:00-04:00,1.0,True,0.0,2010-10-19
2010-12-07 10:00:00-05:00,1.0,True,0.0,2010-12-07
2011-01-18 10:00:00-05:00,1.0,True,0.0,2011-01-18
2011-03-01 10:00:00-05:00,1.0,True,0.0,2011-03-01
2011-04-12 10:00:00-04:00,1.0,True,0.0,2011-04-12
2011-05-31 10:00:00-04:00,1.0,True,0.0,2011-05-31
2011-07-19 10:00:00-04:00,1.0,True,0.0,2011-07-19
2011-09-07 10:00:00-04:00,1.0,True,0.0,2011-09-07
2011-10-25 10:00:00-04:00,1.0,True,0.0,2011-10-25
2011-12-06 10:00:00-05:00,1.0,True,0.0,2011-12-06
2012-01-17 10:00:00-05:00,1.0,True,0.0,2012-01-17
2012-03-08 10:00:00-05:00,1.0,True,0.0,2012-03-08
2012-04-17 10:00:00-04:00,1.0,True,0.0,2012-04-17
2012-06-05 10:00:00-04:00,1.0,True,0.0,2012-06-05
2012-07-17 10:00:00-04:00,1.0,True,0.0,2012-07-17
2012-09-05 10:00:00-04:00,1.0,True,0.0,2012-09-05
2012-10-23 10:00:00-04:00,1.0,True,0.0,2012-10-23
2012-12-04 10:00:00-05:00,1.0,True,0.0,2012-12-04
2013-01-23 10:00:00-05:00,1.0,True,0.0,2013-01-23
2013-03-06 10:00:00-05:00,1.0,True,0.0,2013-03-06
2013-04-17 10:00:00-04:00,1.0,True,0.0,2013-04-17
2013-05-29 10:00:00-04:00,1.0,True,0.0,2013-05-29
2013-07-17 10:00:00-04:00,1.0,True,0.0,2013-07-17
2013-09-04 10:00:00-04:00,1.0,True,0.0,2013-09-04
2013-10-23 10:00:00-04:00,1.0,True,0.0,2013-10-23
2013-12-04 10:00:00-05:00,1.0,True,0.0,2013-12-04
2014-01-22 10:00:00-05:00,1.0,True,0.0,2014-01-22
2014-03-05 10:00:00-05:00,1.0,True,0.0,2014-03-05
2014-04-16 10:00:00-04:00,1.0,True,0.0,2014-04-16
2014-06-04 10:00:00-04:00,1.0,True,0.0,2014-06-04
2014-07-16 10:00:00-04:00,1.0,True,0.0,2014-07-16
2014-09-03 10:00:00-04:00,1.0,True,0.0,2014-09-03
2014-10-22 10:00:00-04:00,1.0,True,0.0,2014-10-22
2014-12-03 10:00:00-05:00,1.0,True,0.0,2014-12-03
2015-01-21 10:00:00-05:00,0.75,True,-0.25,2015-01-21
2015-03-04 10:00:00-05:00,0.75,True,0.0,2015-03-04
2015-04-15 10:00:00-04:00,0.75,True,0.0,2015-04-15
2015-05-27 10:00:00-04:00,0.75,True,0.0,2015-05-27
2015-07-15 10:00:00-04:00,0.5,True,-0.25,2015-07-15
2015-09-09 10:00:00-04:00,0.5,True,0.0,2015-09-09
2015-10-21 10:00:00-04:00,0.5,True,0.0,2015-10-21
2015-12-02 10:00:00-05:00,0.5,True,0.0,2015-12-02
2016-01-20 10:00:00-05:00,0.5,True,0.0,2016-01-20
2016-03-09 10:00:00-05:00,0.5,True,0.0,2016-03-09
2016-04-13 10:00:00-04:00,0.5,True,0.0,2016-04-13
2016-05-25 10:00:00-04:00,0.5,True,0.0,2016-05-25
2016-07-13 10:00:00-04:00,0.5,True,0.0,2016-07-13
2016-09-07 10:00:00-04:00,0.5,True,0.0,2016-09-07
2016-10-19 10:00:00-04:00,0.5,True,0.0,2016-10-19
2016-12-07 10:00:00-05:00,0.5,True,0.0,2016-12-07
2017-01-18 10:00:00-05:00,0.5,True,0.0,2017-01-18
2017-03-01 10:00:00-05:00,0.5,True,0.0,2017-03-01
2017-04-12 10:00:00-04:00,0.5,True,0.0,2017-04-12
2017-05-24 10:00:00-04:00,0.5,True,0.0,2017-05-24
2017-07-12 10:00:00-04:00,0.75,True,0.25,2017-07-12
2017-09-06 10:00:00-04:00,1.0,True,0.25,2017-09-06
2017-10-25 10:00:00-04:00,1.0,True,0.0,2017-10-25
2017-12-06 10:00:00-05:00,1.0,True,0.0,2017-12-06
2018-01-17 10:00:00-05:00,1.25,True,0.25,2018-01-17
2018-03-07 10:00:00-05:00,1.25,True,0.0,2018-03-07
