date_meeting,date_announcement,is_scheduled,rate,rate_change,date_effective,comments
2006-05-03,2006-05-04,True,4.5,0,2006-05-04,
2006-06-07,2006-06-08,True,4.5,0,2006-06-08,
2006-07-05,2006-07-06,True,4.5,0,2006-07-06,
2006-08-02,2006-08-03,True,4.75,0.25,2006-08-03,
2006-09-06,2006-09-07,True,4.75,0,2006-09-07,
2006-10-04,2006-10-05,True,4.75,0,2006-10-05,
2006-11-08,2006-11-09,True,5,0.25,2006-11-09,
2006-12-06,2006-12-07,True,5,0,2006-12-07,
2007-01-10,2007-01-11,True,5.25,0.25,2007-01-11,
2007-02-07,2007-02-08,True,5.25,0,2007-02-08,
2007-03-07,2007-03-08,True,5.25,0,2007-03-08,
2007-04-04,2007-04-05,True,5.25,0,2007-04-05,
2007-05-09,2007-05-10,True,5.5,0.25,2007-05-10,
2007-06-06,2007-06-07,True,5.5,0,2007-06-07,
2007-07-04,2007-07-05,True,5.75,0.25,2007-07-05,
2007-08-01,2007-08-02,True,5.75,0,2007-08-02,
2007-09-05,2007-09-06,True,5.75,0,2007-09-06,
2007-10-03,2007-10-04,True,5.75,0,2007-10-04,
2007-11-07,2007-11-08,True,5.75,0,2007-11-08,
2007-12-05,2007-12-06,True,5.5,-0.25,2007-12-06,
2008-01-09,2008-01-10,True,5.5,0,2008-01-10,
2008-02-06,2008-02-07,True,5.25,-0.25,2008-02-07,
2008-03-05,2008-03-06,True,5.25,0,2008-03-06,
2008-04-09,2008-04-10,True,5,-0.25,2008-04-10,
2008-05-07,2008-05-08,True,5,0,2008-05-08,
2008-06-04,2008-06-05,True,5,0,2008-06-05,
2008-07-09,2008-07-10,True,5,0,2008-07-10,
2008-08-06,2008-08-07,True,5,0,2008-08-07,
2008-09-03,2008-09-04,True,5,0,2008-09-04,
2008-10-07,2008-10-08,True,4.5,-0.5,2008-10-08,
2008-11-05,2008-11-06,True,3,-1.5,2008-11-06,
2008-12-03,2008-12-04,True,2,-1,2008-12-04,
2009-01-07,2009-01-08,True,1.5,-0.5,2009-01-08,
2009-02-04,2009-02-05,True,1,-0.5,2009-02-05,
2009-03-04,2009-03-05,True,0.5,-0.5,2009-03-05,
2009-04-08,2009-04-09,True,0.5,0,2009-04-09,
2009-05-06,2009-05-07,True,0.5,0,2009-05-07,
2009-06-03,2009-06-04,True,0.5,0,2009-06-04,
2009-07-08,2009-07-09,True,0.5,0,2009-07-09,
2009-08-05,2009-08-06,True,0.5,0,2009-08-06,
2009-09-09,2009-09-10,True,0.5,0,2009-09-10,
2009-10-07,2009-10-08,True,0.5,0,2009-10-08,
2009-11-04,2009-11-05,True,0.5,0,2009-11-05,
2009-12-09,2009-12-10,True,0.5,0,2009-12-10,
2010-01-06,2010-01-07,True,0.5,0,2010-01-07,
2010-02-03,2010-02-04,True,0.5,0,2010-02-04,
2010-03-03,2010-03-04,True,0.5,0,2010-03-04,
2010-04-07,2010-04-08,True,0.5,0,2010-04-08,
2010-05-09,2010-05-10,True,0.5,0,2010-05-10,
2010-06-09,2010-06-10,True,0.5,0,2010-06-10,
2010-07-07,2010-07-08,True,0.5,0,2010-07-08,
2010-08-04,2010-08-05,True,0.5,0,2010-08-05,
2010-09-08,2010-09-09,True,0.5,0,2010-09-09,
2010-10-06,2010-10-07,True,0.5,0,2010-10-07,
2010-11-03,2010-11-04,True,0.5,0,2010-11-04,
2010-12-08,2010-12-09,True,0.5,0,2010-12-09,
2011-01-12,2011-01-13,True,0.5,0,2011-01-13,
2011-02-09,2011-02-10,True,0.5,0,2011-02-10,
2011-03-09,2011-03-10,True,0.5,0,2011-03-10,
2011-04-06,2011-04-07,True,0.5,0,2011-04-07,
2011-05-04,2011-05-05,True,0.5,0,2011-05-05,
2011-06-08,2011-06-09,True,0.5,0,2011-06-09,
2011-07-06,2011-07-07,True,0.5,0,2011-07-07,
2011-08-03,2011-08-04,True,0.5,0,2011-08-04,
2011-09-07,2011-09-08,True,0.5,0,2011-09-08,
2011-10-05,2011-10-06,True,0.5,0,2011-10-06,
2011-11-09,2011-11-10,True,0.5,0,2011-11-10,
2011-12-07,2011-12-08,True,0.5,0,2011-12-08,
2012-01-11,2012-01-12,True,0.5,0,2012-01-12,
2012-02-08,2012-02-09,True,0.5,0,2012-02-09,
2012-03-07,2012-03-08,True,0.5,0,2012-03-08,
2012-04-04,2012-04-05,True,0.5,0,2012-04-05,
2012-05-09,2012-05-10,True,0.5,0,2012-05-10,
2012-06-06,2012-06-07,True,0.5,0,2012-06-07,
2012-07-04,2012-07-05,True,0.5,0,2012-07-05,
2012-08-01,2012-08-02,True,0.5,0,2012-08-02,
2012-09-05,2012-09-06,True,0.5,0,2012-09-06,
2012-10-03,2012-10-04,True,0.5,0,2012-10-04,
2012-11-07,2012-11-08,True,0.5,0,2012-11-08,
2012-12-05,2012-12-06,True,0.5,0,2012-12-06,
2013-01-09,2013-01-10,True,0.5,0,2013-01-10,
2013-02-06,2013-02-07,True,0.5,0,2013-02-07,
2013-03-06,2013-03-07,True,0.5,0,2013-03-07,
2013-04-03,2013-04-04,True,0.5,0,2013-04-04,
2013-05-08,2013-05-09,True,0.5,0,2013-05-09,
2013-06-05,2013-06-06,True,0.5,0,2013-06-06,
2013-07-03,2013-07-04,True,0.5,0,2013-07-04,
2013-07-31,2013-08-01,True,0.5,0,2013-08-01,
2013-09-04,2013-09-05,True,0.5,0,2013-09-05,
2013-10-09,2013-10-10,True,0.5,0,2013-10-10,
2013-11-06,2013-11-07,True,0.5,0,2013-11-07,
2013-12-04,2013-12-05,True,0.5,0,2013-12-05,
2014-01-08,2014-01-09,True,0.5,0,2014-01-09,
2014-02-05,2014-02-06,True,0.5,0,2014-02-06,
2014-03-05,2014-03-06,True,0.5,0,2014-03-06,
2014-04-09,2014-04-10,True,0.5,0,2014-04-10,
2014-05-07,2014-05-08,True,0.5,0,2014-05-08,
2014-06-04,2014-06-05,True,0.5,0,2014-06-05,
2014-07-09,2014-07-10,True,0.5,0,2014-07-10,
2014-08-06,2014-08-07,True,0.5,0,2014-08-07,
2014-09-03,2014-09-04,True,0.5,0,2014-09-04,
2014-10-08,2014-10-09,True,0.5,0,2014-10-09,
